team,Avg_Performance,Avg_Fantasy,Avg_Goals,Avg_Disposals,Players
fitzroy lions,25.22516472599624,61.029094562284826,0.6580845749928215,17.264640529983197,11
Brisbane Lions,25.180903268055328,58.73544753889464,0.6697937570605196,13.566676588549804,1083
 geelong cats ,25.179981604145627,58.76875114430309,0.8802361601021704,14.743170286913626,61
Melbourne Demons,25.001237713049985,58.66772729216994,0.6888285573989719,14.0239909081034,1055
 Gold Coast Suns ,24.943762727444952,59.23209536485112,0.4086723092669384,14.654641784520301,30
Richmond Tigers,24.766849437828398,58.063879545594446,0.6788109505840331,13.780037810518094,942
 WESTERN BULLDOGS ,24.715892681996674,55.298166432732295,0.5281398303122903,13.303496146174867,22
NORTH MELBOURNE KANGAROOS,24.710453179419137,57.819044435028246,0.9364093574678781,13.514862102955219,222
 brisbane lions ,24.69080021072988,61.266886622896855,2.0357740724748394,10.434782793222691,15
Carlton Blues,24.673194191483905,57.66604746191769,0.6088110754526826,13.606402752873269,1091
Western Bulldogs,24.565513132788396,57.96742503865423,0.7189644851706043,13.792791000201497,1073
RICHMOND TIGERS,24.46202377261751,57.60375969135514,0.3148864828478298,14.017817324892318,179
 Sydney Swans ,24.434435238726554,57.18635578916344,0.4997676220107392,12.874502033329323,51
ESSENDON BOMBERS,24.37267115134336,56.45924238808853,0.6778312265228165,13.848578097413117,210
collingwood magpies,24.33252085118451,56.99165349176916,0.7965926538888676,13.93361716724263,168
COLLINGWOOD MAGPIES,24.294997913428112,56.616520126884225,0.612972319344189,13.529734832951517,142
 Port Adelaide Power ,24.25154517641923,57.709869583088285,0.4679799932000028,14.199974318526367,82
North Melbourne Kangaroos,24.178961890119044,55.953867481829484,0.6673279064058619,13.732719107579408,1024
st kilda saints,24.108230721006695,57.37458202381619,0.6568264563719108,12.94946664832935,110
fremantle dockers,24.081813859198654,57.06061990293691,0.7193549237725776,13.389159865781275,132
 melbourne demons ,24.009170280477097,57.55571814549087,0.696695917718645,14.618594789049332,22
PORT ADELAIDE POWER,23.97648985949614,56.9100835152458,0.6158174566640282,12.673443411009075,122
gold coast suns,23.886376794038988,56.950663630530116,0.3977192136669414,13.780518901217707,56
BRISBANE LIONS,23.78009894994215,56.701826777160406,0.6287363760975196,12.65174371991032,203
ST KILDA SAINTS,23.683582707043932,56.63080793086252,0.6017592249690518,12.52965508567314,140
MELBOURNE DEMONS,23.68145331194441,54.973192286348024,0.5621143649535669,13.328691559679747,109
 adelaide crows ,23.639284435045944,57.94720038733196,2.0036063643958384,10.481596177944862,20
carlton blues,23.620138486625198,55.3515085321498,0.6865582498248354,13.882441460856246,139
geelong cats,23.609586248016836,55.63297685404786,0.5535644151526377,13.020135150796705,89
richmond tigers,23.52688152321214,55.089350099640825,0.4579699855926468,13.951039590091055,180
 BRISBANE LIONS ,23.513852819642203,55.558713676439886,0.3917857832507424,13.305166397148525,22
north melbourne kangaroos,23.3912968495421,56.22965749689114,0.9845321885295739,13.276086017347442,157
 ESSENDON BOMBERS ,23.2358299512987,53.068243145743146,0.9273683261183262,13.108516414141414,20
melbourne demons,23.028673911401768,54.827042909399175,0.5920969955576626,12.950501138433179,117
FREMANTLE DOCKERS,22.912902817831295,53.616341678652795,0.6056808669835322,12.95715264532929,105
 RICHMOND TIGERS ,22.903511904761903,54.73452380952381,0.3613095238095238,14.592857142857145,5
 ST KILDA SAINTS ,22.874441697191696,55.08440285904571,0.597157704573671,11.9765363184901,35
Brisbane Bears,22.72471407684826,54.32308017297731,0.994379923519772,14.616728603331381,114
SYDNEY SWANS,22.68703209154124,54.12775550402978,0.7182011165772281,12.197362707299957,192
west coast eagles,22.662601679964514,54.34171165650857,0.9507036817672072,12.584431559154948,258
 hawthorn hawks ,22.522145635614386,54.737996170496174,0.7841733266733266,12.051855019980021,20
sydney swans,22.264940615901413,52.88959373180426,0.8305236919656424,11.63796662513613,150
 NORTH MELBOURNE KANGAROOS ,22.125,56.5,0.5,10.0,1
 COLLINGWOOD MAGPIES ,21.9797619047619,52.79365079365079,0.5158730158730158,10.055555555555555,2
 ADELAIDE CROWS ,21.760341117216115,45.62930402930403,0.08113553113553114,8.781822344322345,4
 SYDNEY SWANS ,21.604891037611626,53.01693765112883,0.5510943123688221,11.538736912143776,18
FITZROY LIONS,21.57666666666666,52.06666666666667,0.8666666666666667,13.333333333333334,1
essendon bombers,21.395310113582877,51.75944846911401,0.7171462789086394,12.23144318966277,99
Fitzroy Lions,21.258711868696942,51.356288420471856,0.7226027957779565,13.075808321249944,52
adelaide crows,21.22352381400975,51.883582238087854,0.8605154205650992,11.21452610566211,80
 Geelong Cats ,21.08076771583479,51.1515527592481,0.6267709059112486,11.65527525317245,61
 west coast eagles ,20.960793979713095,50.08056340718106,0.7253735888294712,12.007723240811476,20
 sydney swans ,20.596421483430237,50.42755572067766,0.4878425344359263,11.675912294151368,39
 port adelaide power ,20.475158995520484,48.79730466635517,0.5359144074271522,12.313014978239712,33
 greater western sydney giants ,20.02072192513369,46.62366310160428,0.4699197860962567,10.947192513368984,4
 Richmond Tigers ,19.832755276401443,47.0981504583308,0.5099594775709327,10.352913401012472,50
 Adelaide Crows ,19.74519045276133,47.118490971663505,0.6892608420766652,11.489532366050065,46
 GREATER WESTERN SYDNEY GIANTS ,19.39621212121212,48.515151515151516,0.3787878787878788,11.5,2
 Fitzroy Lions ,19.335771811249753,46.851903842345024,0.24279312735195088,11.306796253855076,9
 HAWTHORN HAWKS ,19.240646853146853,47.11305361305361,0.10984848484848483,12.141608391608392,4
 brisbane bears ,18.932264957264955,45.82905982905983,0.7905982905982906,11.645299145299145,2
 western bulldogs ,18.905161394667328,46.51961797614533,0.6499639621930643,10.049837220838253,18
 CARLTON BLUES ,18.819245882793677,44.99992323852618,0.20715901745313509,9.71744162700045,10
 carlton blues ,18.159257335862822,44.51674947981892,0.3675453514739229,9.147012111187255,14
 West Coast Eagles ,17.536531142355447,41.57326235867257,1.0453536749976378,9.269506456851659,74
 WEST COAST EAGLES ,17.267767857142857,42.25714285714285,0.06964285714285715,8.933928571428572,5
BRISBANE BEARS,15.967692307692307,38.09230769230769,0.13846153846153847,10.538461538461538,2
 st kilda saints ,15.535520833333333,38.859375,0.415625,7.234375,8
 gold coast suns ,15.28076923076923,36.61538461538461,0.3076923076923077,9.307692307692307,2
 PORT ADELAIDE POWER ,11.948958333333334,29.625,0.14583333333333331,7.104166666666666,2
