home_away,venue,Average_Fantasy,Average_Score,Average_Crowd,Records
A,"Sydney Cricket Ground
",58.406417112299465,,26917.29946524064,187
A,TIO Stadium,64.5754716981132,,11656.007075471698,424
A,"TIO Stadium
",63.81818181818182,,10108.0,22
A,TIO Traeger Park,70.61576354679804,,8288.133004926109,203
A,The Gabba,62.85149340897714,,25183.560487235107,5993
A,"The Gabba
",64.31914893617021,,26349.159574468085,94
A,UTAS Stadium,64.76970160673298,,14181.218821729151,1307
A,"UTAS Stadium
",69.38636363636364,,15110.0,44
A,Victoria Park,56.97769516728624,,23656.843866171002,269
A,"Victoria Park
",54.42857142857143,,23387.14285714286,7
A,WACA,55.237931034482756,,24577.955172413793,580
A,"WACA
",51.11764705882353,,22172.235294117647,17
A,Waverley Park,57.81165311653117,,32053.16982836495,2214
A,"Waverley Park
",62.21621621621622,,24572.135135135137,37
A,Western Oval,58.35,,15004.273214285715,560
A,"Western Oval
",56.5,,11236.0,4
A,Westpac Stadium,70.23880597014926,,15968.432835820895,67
A,Windy Hill,52.78048780487805,,17186.51219512195,82
A,"Windy Hill
",35.5,,19591.0,2
H,AAMI Stadium,63.32489577129244,,28214.857951161404,3358
H,"AAMI Stadium
",64.25842696629213,,16521.56179775281,89
H,Accor Stadium,66.67950169875425,,42418.75990939977,883
H,"Accor Stadium
",69.86363636363636,,25025.0,22
H,Adelaide Hills,66.68115942028986,,8630.333333333334,69
H,Adelaide Oval,69.6938775510204,,38130.56916099773,2646
H,"Adelaide Oval
",64.0,,34074.26666666667,90
H,Barossa Park,62.69565217391305,,9672.5,46
H,Blacktown International,60.78260869565217,,6875.0,23
H,Bruce Stadium,58.30769230769231,,11282.0,13
H,Cazaly's Stadium,64.675,,17872.76,200
H,Domain Stadium,66.77799882972498,,34174.38712697484,8545
H,"Domain Stadium
",70.23140495867769,,34077.347107438014,121
H,ENGIE Stadium,70.3692458374143,,12931.290891283055,2042
H,GMHBA Stadium,69.75787656452309,,23618.210617177385,4634
H,"GMHBA Stadium
",73.81481481481481,,23950.444444444445,108
H,Hands Oval,63.47826086956522,,12715.0,23
H,Jiangwan Stadium,65.91428571428571,,10071.714285714286,70
H,Manuka Oval,66.44255319148937,,10542.228723404256,940
H,"Manuka Oval
",66.08928571428571,,10340.589285714286,112
H,Mars Stadium,65.95652173913044,,2952.0,23
H,Marvel Stadium,68.35104399701716,,32653.95587869749,16092
H,"Marvel Stadium
",69.2909090909091,,33015.43232323232,495
H,Melbourne Cricket Ground,65.96197312718571,,50104.72446162341,27165
H,"Melbourne Cricket Ground
",68.63555555555556,,47111.851111111115,900
H,Moorabbin Oval,73.5982905982906,,20961.222222222223,117
H,Ninja Stadium,68.17746113989638,,10027.948186528498,772
H,"Ninja Stadium
",57.869565217391305,,7014.0,46
H,Norwood Oval,67.91304347826087,,9188.5,92
H,Optus Stadium,65.91960724148512,,42214.51887081927,3259
H,"Optus Stadium
",66.45652173913044,,43474.75,92
H,People First Stadium,64.16434461188513,,16974.184816605062,3517
H,"People First Stadium
",64.51315789473684,,10457.78947368421,76
H,Princes Park,60.9099634369287,,20785.59323583181,2188
H,"Princes Park
",61.52252252252252,,24066.603603603602,111
H,Riverway Stadium,70.43478260869566,,7243.0,23
H,Sydney Cricket Ground,65.13110207100591,,28538.374075443786,5408
H,"Sydney Cricket Ground
",58.228070175438596,,27020.77192982456,171
H,TIO Stadium,67.36511627906977,,10219.511627906977,430
H,"TIO Stadium
",69.82608695652173,,12104.0,23
H,TIO Traeger Park,70.35148514851485,,6007.648514851485,202
H,The Gabba,64.38205090043161,,24821.253906831374,6719
H,"The Gabba
",68.90865384615384,,27806.81730769231,208
H,UTAS Stadium,70.2927100723428,,14227.58041179744,1797
H,"UTAS Stadium
",79.6590909090909,,15942.0,44
H,Victoria Park,63.77105263157895,,23903.223684210527,380
H,"Victoria Park
",71.0,,20403.0,5
H,WACA,60.43023255813954,,24978.485788113696,774
H,Waverley Park,61.27570518653321,,31908.42447679709,2198
H,"Waverley Park
",50.464285714285715,,31325.416666666668,84
H,Western Oval,57.424870466321245,,10156.886010362694,193
H,Westpac Stadium,68.43478260869566,,22546.0,23
H,Windy Hill,67.07142857142857,,18208.571428571428,112
H,"Windy Hill
",60.27777777777778,,14927.111111111111,18
