id,team,year,career_game_count,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,player_id,match_date,fantasy_points,score,margin,team_name,home_away,venue,crowd,_merge
514784,Carlton Blues,2002,41,St Kilda Saints,16,L,25,2.0,1.0,1.0,-2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,84.0,45513,2002-07-21,19,,-43,,,,,left_only
472863,Fremantle Dockers,2002,15,West Coast Eagles,16,W,35,6.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,84.0,44928,2002-07-20,36,,30,,,,,left_only
586233,Fremantle Dockers,2002,117,West Coast Eagles,16,W,8,9.0,3.0,11.0,15.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,7.0,14.0,0.0,0.0,2.0,1.0,0.0,84.0,45734,2002-07-20,63,,30,,,,,left_only
523584,Melbourne Demons,2002,89,Hawthorn Hawks,16,L,3,7.0,4.0,5.0,7.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,8.0,1.0,0.0,1.0,3.0,0.0,84.0,45357,2002-07-20,47,,-26,,,,,left_only
588941,Melbourne Demons,2002,68,Hawthorn Hawks,16,L,7,18.0,2.0,11.0,24.0,2.0,0.0,0.0,1.0,1.0,6.0,8.0,5.0,2.0,1.0,0.0,12.0,17.0,0.0,1.0,2.0,0.0,0.0,84.0,45812,2002-07-20,100,,-26,,,,,left_only
540735,Melbourne Demons,2002,89,Hawthorn Hawks,16,L,23,3.0,1.0,4.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,3.0,0.0,0.0,3.0,2.0,0.0,84.0,45721,2002-07-20,26,,-26,,,,,left_only
34759,North Melbourne Kangaroos,2002,19,Port Adelaide Power,16,W,40,5.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,7.0,1.0,0.0,84.0,45071,2002-07-20,44,,29,,,,,left_only
533527,Geelong Cats,1995,9,Carlton Blues,12,L,19,12.0,6.0,5.0,12.0,3.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45565,1995-06-24,85,,-3,,,,,left_only
599593,Western Bulldogs,2025,15,North Melbourne Kangaroos,1,W,32,1.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,23.0,44172,2025-03-15,5,,16,,,,,left_only
533593,Geelong Cats,2000,75,St Kilda Saints,2,W,19,3.0,4.0,6.0,14.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,84.0,45565,2000-03-18,10,,40,,,,,left_only
543772,Sydney Swans,2002,105,Brisbane Lions,16,L,22,10.0,4.0,9.0,14.0,1.0,0.0,1.0,2.0,5.0,5.0,3.0,1.0,1.0,1.0,0.0,8.0,10.0,2.0,1.0,2.0,3.0,0.0,84.0,45851,2002-07-21,68,,-38,,,,,left_only
590747,Western Bulldogs,1999,107,Adelaide Crows,16,W,35,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,0.0,3.0,4.0,1.0,0.0,2.0,0.0,0.0,84.0,45656,1999-07-17,27,,2,,,,,left_only
562922,Western Bulldogs,2002,55,Adelaide Crows,16,L,30,6.0,1.0,6.0,14.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,84.0,45838,2002-07-21,29,,-43,,,,,left_only
351077,Western Bulldogs,2002,14,Adelaide Crows,16,L,40,10.0,5.0,6.0,11.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,4.0,11.0,1.0,2.0,1.0,0.0,0.0,84.0,43394,2002-07-21,64,,-43,,,,,left_only
540044,Adelaide Crows,2003,43,Fremantle Dockers,16,L,28,8.0,2.0,4.0,7.0,0.0,1.0,0.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,4.0,7.0,0.0,0.0,1.0,4.0,0.0,49.0,45344,2003-07-20,39,,-1,,,,,left_only
565344,Western Bulldogs,1999,48,Adelaide Crows,16,W,23,9.0,4.0,2.0,14.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45708,1999-07-17,16,,2,,,,,left_only
516958,Adelaide Crows,2003,77,Fremantle Dockers,16,L,24,12.0,4.0,1.0,8.0,4.0,1.0,0.0,5.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,5.0,8.0,2.0,2.0,3.0,1.0,0.0,100.0,45396,2003-07-20,96,,-1,,,,,left_only
506262,Collingwood Magpies,2003,99,Richmond Tigers,16,W,19,9.0,6.0,8.0,12.0,2.0,1.0,0.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,4.0,12.0,1.0,3.0,1.0,1.0,0.0,96.0,45968,2003-07-18,86,,69,,,,,left_only
80422,Western Bulldogs,2003,34,Geelong Cats,16,W,9,7.0,2.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,2.0,4.0,0.0,90.0,43888,2003-07-20,47,,18,,,,,left_only
562936,Western Bulldogs,2003,69,Geelong Cats,16,W,30,9.0,6.0,7.0,11.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,5.0,1.0,3.0,0.0,1.0,15.0,0.0,0.0,6.0,1.0,1.0,96.0,45838,2003-07-20,66,,18,,,,,left_only
590804,Western Bulldogs,2003,164,Geelong Cats,16,W,35,10.0,4.0,5.0,10.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,6.0,9.0,1.0,0.0,5.0,0.0,0.0,100.0,45656,2003-07-20,65,,18,,,,,left_only
94589,Adelaide Crows,2004,12,Fremantle Dockers,16,L,44,6.0,3.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,5.0,3.0,1.0,2.0,2.0,0.0,0.0,95.0,43407,2004-07-17,38,,-12,,,,,left_only
24356,Richmond Tigers,2004,51,St Kilda Saints,16,L,35,8.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,69.0,44590,2004-07-17,37,,-44,,,,,left_only
461461,Richmond Tigers,2004,7,St Kilda Saints,16,L,22,5.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,89.0,44798,2004-07-17,25,,-44,,,,,left_only
562058,Sydney Swans,2004,158,Geelong Cats,16,L,23,11.0,4.0,3.0,9.0,1.0,0.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,0.0,6.0,8.0,0.0,1.0,2.0,1.0,0.0,95.0,45773,2004-07-18,62,,-15,,,,,left_only
539985,Western Bulldogs,2004,132,Melbourne Demons,16,L,24,12.0,12.0,4.0,11.0,2.0,1.0,0.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,4.0,12.0,1.0,5.0,4.0,0.0,0.0,100.0,45825,2004-07-18,93,,-38,,,,,left_only
562958,Western Bulldogs,2004,91,Melbourne Demons,16,L,30,1.0,1.0,3.0,-1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,91.0,45838,2004-07-18,14,,-38,,,,,left_only
516991,Adelaide Crows,2005,110,Western Bulldogs,16,W,24,15.0,5.0,9.0,19.0,3.0,1.0,1.0,2.0,2.0,6.0,4.0,4.0,3.0,4.0,0.0,12.0,13.0,0.0,2.0,2.0,1.0,0.0,96.0,45396,2005-07-17,97,,74,,,,,left_only
566003,North Melbourne Kangaroos,2005,56,Hawthorn Hawks,16,W,12,7.0,3.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,1.0,0.0,42.0,45903,2005-07-17,34,,41,,,,,left_only
351123,Western Bulldogs,2005,46,Adelaide Crows,16,L,40,6.0,3.0,8.0,9.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,8.0,2.0,0.0,1.0,0.0,0.0,58.0,43394,2005-07-17,57,,-74,,,,,left_only
108272,Western Bulldogs,2005,11,Adelaide Crows,16,L,16,7.0,7.0,13.0,15.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,4.0,17.0,0.0,0.0,1.0,6.0,0.0,90.0,43940,2005-07-17,73,,-74,,,,,left_only
562974,Western Bulldogs,2005,107,Adelaide Crows,16,L,30,5.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,78.0,45838,2005-07-17,40,,-74,,,,,left_only
94612,Adelaide Crows,2006,35,North Melbourne Kangaroos,16,W,44,9.0,5.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0,73.0,43407,2006-07-21,56,,72,,,,,left_only
517012,Adelaide Crows,2006,131,North Melbourne Kangaroos,16,W,24,8.0,5.0,6.0,9.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,4.0,11.0,0.0,1.0,2.0,1.0,2.0,91.0,45396,2006-07-21,58,,72,,,,,left_only
23085,Collingwood Magpies,2006,17,West Coast Eagles,16,W,15,14.0,8.0,8.0,17.0,2.0,1.0,0.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,9.0,13.0,1.0,1.0,3.0,0.0,0.0,80.0,43784,2006-07-22,111,,37,,,,,left_only
458800,Essendon Bombers,2006,36,Carlton Blues,16,D,29,5.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,36.0,44772,2006-07-22,30,,0,,,,,left_only
531154,Adelaide Crows,2000,17,Western Bulldogs,16,L,38,7.0,1.0,6.0,8.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,8.0,5.0,0.0,0.0,2.0,1.0,0.0,84.0,45539,2000-06-25,31,,-61,,,,,left_only
586302,Fremantle Dockers,2006,186,Melbourne Demons,16,W,8,7.0,7.0,15.0,17.0,1.0,0.0,1.0,2.0,1.0,6.0,1.0,2.0,1.0,1.0,0.0,5.0,15.0,0.0,0.0,2.0,0.0,1.0,62.0,45734,2006-07-23,87,,29,,,,,left_only
548173,Fremantle Dockers,2006,143,Melbourne Demons,16,W,2,8.0,5.0,9.0,12.0,0.0,0.0,0.0,5.0,1.0,1.0,6.0,1.0,1.0,1.0,0.0,7.0,10.0,0.0,0.0,1.0,0.0,0.0,83.0,45409,2006-07-23,74,,29,,,,,left_only
541030,Adelaide Crows,1998,30,Western Bulldogs,PF,W,29,13.0,2.0,4.0,12.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45916,1998-09-19,68,,68,,,,,left_only
556383,Hawthorn Hawks,1994,8,Western Bulldogs,11,W,34,5.0,2.0,4.0,4.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45552,1994-06-05,42,,64,,,,,left_only
9702,West Coast Eagles,2006,23,Collingwood Magpies,16,L,8,4.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,75.0,45188,2006-07-22,30,,-37,,,,,left_only
527460,West Coast Eagles,2006,224,Collingwood Magpies,16,L,17,9.0,7.0,5.0,9.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,11.0,0.0,0.0,5.0,0.0,0.0,90.0,45422,2006-07-22,56,,-37,,,,,left_only
80477,Western Bulldogs,2006,89,Geelong Cats,16,L,9,13.0,5.0,13.0,21.0,2.0,1.0,0.0,1.0,6.0,8.0,0.0,2.0,0.0,0.0,0.0,6.0,19.0,0.0,0.0,6.0,7.0,1.0,99.0,43888,2006-07-23,97,,-1,,,,,left_only
517025,Adelaide Crows,2007,144,Fremantle Dockers,16,L,24,8.0,6.0,1.0,4.0,4.0,2.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0,5.0,2.0,5.0,1.0,0.0,0.0,87.0,45396,2007-07-21,87,,-25,,,,,left_only
94634,Adelaide Crows,2007,57,Fremantle Dockers,16,L,44,8.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,4.0,8.0,0.0,0.0,3.0,0.0,0.0,99.0,43407,2007-07-21,39,,-25,,,,,left_only
554997,Essendon Bombers,2007,217,Collingwood Magpies,16,L,22,1.0,1.0,7.0,3.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,5.0,0.0,0.0,7.0,0.0,0.0,100.0,45747,2007-07-21,21,,-29,,,,,left_only
419533,Essendon Bombers,2007,36,Collingwood Magpies,16,L,27,2.0,1.0,2.0,-1.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,40.0,44265,2007-07-21,20,,-29,,,,,left_only
72500,Port Adelaide Power,2007,7,Richmond Tigers,16,W,39,5.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,3.0,4.0,0.0,1.0,5.0,0.0,1.0,86.0,45214,2007-07-22,45,,55,,,,,left_only
105247,Port Adelaide Power,2007,5,Richmond Tigers,16,W,17,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,0.0,1.0,75.0,43927,2007-07-22,26,,55,,,,,left_only
37787,Port Adelaide Power,2007,98,Richmond Tigers,16,W,25,8.0,3.0,12.0,15.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,3.0,2.0,1.0,0.0,10.0,11.0,0.0,0.0,3.0,0.0,3.0,79.0,43537,2007-07-22,64,,55,,,,,left_only
72022,St Kilda Saints,2007,93,Hawthorn Hawks,16,W,23,6.0,4.0,4.0,5.0,1.0,0.0,13.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,6.0,4.0,1.0,1.0,2.0,0.0,0.0,66.0,44239,2007-07-21,60,,17,,,,,left_only
351146,St Kilda Saints,2007,58,Hawthorn Hawks,16,W,22,4.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,38.0,43394,2007-07-21,33,,17,,,,,left_only
87893,West Coast Eagles,2007,18,Sydney Swans,16,W,11,3.0,0.0,4.0,2.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,40.0,44733,2007-07-21,37,,12,,,,,left_only
527483,West Coast Eagles,2007,247,Sydney Swans,16,W,17,12.0,2.0,9.0,16.0,1.0,2.0,0.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,6.0,13.0,0.0,0.0,4.0,1.0,0.0,86.0,45422,2007-07-21,77,,12,,,,,left_only
9727,West Coast Eagles,2007,48,Sydney Swans,16,W,8,8.0,3.0,14.0,17.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,1.0,1.0,0.0,6.0,15.0,0.0,0.0,5.0,1.0,0.0,100.0,45188,2007-07-21,67,,12,,,,,left_only
563012,Western Bulldogs,2007,145,Geelong Cats,16,L,30,4.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,4.0,0.0,2.0,2.0,0.0,0.0,75.0,45838,2007-07-20,31,,-75,,,,,left_only
117784,Western Bulldogs,2007,21,Geelong Cats,16,L,19,5.0,6.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,5.0,15.0,0.0,1.0,2.0,0.0,1.0,82.0,44044,2007-07-20,62,,-75,,,,,left_only
80501,Western Bulldogs,2007,113,Geelong Cats,16,L,9,5.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,4.0,2.0,0.0,42.0,43888,2007-07-20,34,,-75,,,,,left_only
13851,Adelaide Crows,2008,4,Port Adelaide Power,16,L,2,5.0,4.0,2.0,2.0,0.0,2.0,10.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,6.0,1.0,3.0,2.0,0.0,0.0,0.0,44.0,44525,2008-07-20,45,,-12,,,,,left_only
